개체번호,잎 수(장),지상부 길이(cm),지하부길이(cm),지상부 생중량(g),지하부 생중량(g),지상부 건중량(g),지하부 건중량(g),,
1,13,95,110,3.75,0.93,0.8518,0.1657,,
2,11,8,163,4.7,2.3,0.7124,0.3547,,
3,9,247,40,1.14,0.29,0.3581,0.0919,,
4,14,70,215,3.78,1.13,0.4994,0.0604,,
5,18,110,125,4.14,0.65,0.4366,0.0755,,
6,25,115,260,13.67,7.89,,0.7569,,
7,53,90,350,21,6.52,,0.7968,,
8,14,71,140,3.75,1.14,0.4988,0.045,,
9,넘버링 오류(개체 없음),,,,,,,,
10,9,75,65,1.22,0.36,0.2509,0.0045,,
11,16,100,180,2.93,1.91,,0.2013,,
12,7,38,35,0.48,0.06,0.1434,0.0194,,
13,9,50,68,0.64,0.14,0.1412,0.1906,,
14,8,29,38,0.25,0.06,0.1532,0.1191,,
15,8,70,25,0.38,0.03,0.2878,0.0233,,
16,12,135,85,1.2,0.18,0.2172,0.0796,,
17,6,6,31,0.2,0.03,0.1571,0.0315,,
18,12,11.5,17.5,4.6,0.9,0.5522,0.1392,,
19,14,6,17,2.5,1.1,0.3326,0.0733,,
20,7,8.5,4,0.66,0.18,,0.0636,,
21,8,10.5,5,1,0.09,0.1556,0.0647,,
22,7,6.5,10,0.74,0.14,0.1892,0.1926,,
23,6,5,5,0.4,0.12,0.2061,0.0688,,
24,2,4.5,2.5,0.25,0.05,0.0697,0.0332,,
25,4,4,2.5,0,0,0.049,0.0242,,
26,0,2,2,0,0,0.2034,,,
27,8,75,115,1,0.24,0.1678,0.0609,,
28,6,45,45,0.81,0.18,0.1199,0.0409,,
29,5,45,20,0.41,0.07,0.0145,0.0262,,
30,14,80,85,2.28,0.4,0.3497,0.071,,
31,6,44,20,0.29,0.06,0.0819,0.1579,,
32,11,63,80,2.13,0.6,0.4928,0.0076,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
