날짜,시간,co2,날짜,시간,ec,ph,w.t,날짜,시간,humid,날짜,시간,temp
2025-05-16,00:04:46,506.000,2025-05-16,00:04:46,1231,610,190,2025-05-16,00:04:46,78.600,2025-05-16,00:04:46,19.200
2025-05-16,00:19:46,509.000,2025-05-16,00:19:46,1231,600,190,2025-05-16,00:19:46,59.600,2025-05-16,00:19:46,18.700
2025-05-16,00:34:46,506.000,2025-05-16,00:34:46,1232,610,189,2025-05-16,00:34:46,78.300,2025-05-16,00:34:46,19.700
2025-05-16,00:49:46,515.000,2025-05-16,00:49:46,1232,600,189,2025-05-16,00:49:46,63.300,2025-05-16,00:49:46,18.600
2025-05-16,01:04:46,512.000,2025-05-16,01:04:46,1231,600,189,2025-05-16,01:04:46,66.600,2025-05-16,01:04:46,19.600
2025-05-16,01:19:46,505.000,2025-05-16,01:19:46,1233,620,188,2025-05-16,01:19:46,75.200,2025-05-16,01:19:46,18.700
2025-05-16,01:34:46,502.000,2025-05-16,01:34:46,1230,610,189,2025-05-16,01:34:46,62.200,2025-05-16,01:34:46,19.400
2025-05-16,01:49:46,500.000,2025-05-16,01:49:46,1233,620,189,2025-05-16,01:49:46,75.200,2025-05-16,01:49:46,18.700
2025-05-16,02:04:46,499.000,2025-05-16,02:04:46,1237,550,190,2025-05-16,02:04:46,63.500,2025-05-16,02:04:46,19.600
2025-05-16,02:19:46,490.000,2025-05-16,02:19:46,1236,570,190,2025-05-16,02:19:46,78.800,2025-05-16,02:19:46,19.700
2025-05-16,02:34:46,493.000,2025-05-16,02:34:46,1233,580,190,2025-05-16,02:34:46,61.000,2025-05-16,02:34:46,20.000
2025-05-16,02:49:46,491.000,2025-05-16,02:49:46,1234,570,190,2025-05-16,02:49:46,64.300,2025-05-16,02:49:46,19.900
2025-05-16,03:04:46,488.000,2025-05-16,03:04:46,1234,590,190,2025-05-16,03:04:46,67.800,2025-05-16,03:04:46,18.600
2025-05-16,03:19:46,483.000,2025-05-16,03:19:46,1234,580,190,2025-05-16,03:19:46,64.000,2025-05-16,03:19:46,19.400
2025-05-16,03:34:46,481.000,2025-05-16,03:34:46,1236,590,189,2025-05-16,03:34:46,77.700,2025-05-16,03:34:46,19.000
2025-05-16,03:49:46,479.000,2025-05-16,03:49:46,1236,580,189,2025-05-16,03:49:46,61.800,2025-05-16,03:49:46,18.900
2025-05-16,04:04:46,474.000,2025-05-16,04:04:46,1236,590,189,2025-05-16,04:04:46,79.400,2025-05-16,04:04:46,19.400
2025-05-16,04:19:46,477.000,2025-05-16,04:19:46,1235,600,189,2025-05-16,04:19:46,60.000,2025-05-16,04:19:46,18.700
2025-05-16,04:34:46,476.000,2025-05-16,04:34:46,1236,600,188,2025-05-16,04:34:46,79.100,2025-05-16,04:34:46,19.700
2025-05-16,04:49:46,483.000,2025-05-16,04:49:46,1236,600,188,2025-05-16,04:49:46,70.800,2025-05-16,04:49:46,18.700
2025-05-16,05:04:46,476.000,2025-05-16,05:04:46,1235,600,190,2025-05-16,05:04:46,67.500,2025-05-16,05:04:46,19.800
2025-05-16,05:19:46,478.000,2025-05-16,05:19:46,1235,600,190,2025-05-16,05:19:46,78.100,2025-05-16,05:19:46,19.200
2025-05-16,05:34:46,477.000,2025-05-16,05:34:46,1236,610,190,2025-05-16,05:34:46,62.200,2025-05-16,05:34:46,19.300
2025-05-16,05:49:46,474.000,2025-05-16,05:49:46,1234,600,190,2025-05-16,05:49:46,79.800,2025-05-16,05:49:46,19.700
2025-05-16,06:04:46,482.000,2025-05-16,06:04:46,1234,610,190,2025-05-16,06:04:46,60.500,2025-05-16,06:04:46,18.700
2025-05-16,06:19:46,473.000,2025-05-16,06:19:46,1236,610,189,2025-05-16,06:19:46,76.800,2025-05-16,06:19:46,19.900
2025-05-16,06:34:46,477.000,2025-05-16,06:34:46,1235,600,189,2025-05-16,06:34:46,78.300,2025-05-16,06:34:46,19.200
2025-05-16,06:49:46,475.000,2025-05-16,06:49:46,1236,620,190,2025-05-16,06:49:46,76.500,2025-05-16,06:49:46,20.600
2025-05-16,07:04:46,472.000,2025-05-16,07:04:46,1355,520,189,2025-05-16,07:04:46,76.600,2025-05-16,07:04:46,20.800
2025-05-16,07:19:46,476.000,2025-05-16,07:19:46,1242,520,189,2025-05-16,07:19:46,58.900,2025-05-16,07:19:46,19.200
2025-05-16,07:34:46,478.000,2025-05-16,07:34:46,1239,550,189,2025-05-16,07:34:46,66.900,2025-05-16,07:34:46,19.500
2025-05-16,07:49:46,473.000,2025-05-16,07:49:46,1240,570,189,2025-05-16,07:49:46,68.600,2025-05-16,07:49:46,19.300
2025-05-16,08:04:46,476.000,2025-05-16,08:04:46,1239,570,189,2025-05-16,08:04:46,68.800,2025-05-16,08:04:46,19.300
2025-05-16,08:19:46,475.000,2025-05-16,08:19:46,1239,580,189,2025-05-16,08:19:46,73.600,2025-05-16,08:19:46,19.500
2025-05-16,08:34:46,482.000,2025-05-16,08:34:46,1240,570,189,2025-05-16,08:34:46,76.700,2025-05-16,08:34:46,19.600
2025-05-16,08:49:46,515.000,2025-05-16,08:49:46,1240,580,189,2025-05-16,08:49:46,75.700,2025-05-16,08:49:46,19.400
2025-05-16,09:04:46,623.000,2025-05-16,09:04:46,1238,590,191,2025-05-16,09:04:46,62.400,2025-05-16,09:04:46,19.000
2025-05-16,09:19:46,634.000,2025-05-16,09:19:46,1239,590,191,2025-05-16,09:19:46,64.800,2025-05-16,09:19:46,19.400
2025-05-16,09:34:46,673.000,2025-05-16,09:34:46,1240,590,190,2025-05-16,09:34:46,75.900,2025-05-16,09:34:46,19.300
2025-05-16,09:49:46,747.000,2025-05-16,09:49:46,1239,590,190,2025-05-16,09:49:46,61.900,2025-05-16,09:49:46,19.100
2025-05-16,10:04:46,755.000,2025-05-16,10:04:46,1238,590,190,2025-05-16,10:04:46,68.600,2025-05-16,10:04:46,19.700
2025-05-16,10:19:46,798.000,2025-05-16,10:19:46,1240,590,190,2025-05-16,10:19:46,60.900,2025-05-16,10:19:46,18.900
2025-05-16,10:34:46,814.000,2025-05-16,10:34:46,1240,590,189,2025-05-16,10:34:46,65.900,2025-05-16,10:34:46,19.600
2025-05-16,10:49:46,845.000,2025-05-16,10:49:46,1239,590,189,2025-05-16,10:49:46,60.600,2025-05-16,10:49:46,18.900
2025-05-16,11:04:46,853.000,2025-05-16,11:04:46,1240,590,189,2025-05-16,11:04:46,69.600,2025-05-16,11:04:46,19.800
2025-05-16,11:19:46,862.000,2025-05-16,11:19:46,1239,600,189,2025-05-16,11:19:46,62.300,2025-05-16,11:19:46,19.500
2025-05-16,11:34:46,831.000,2025-05-16,11:34:46,1239,600,189,2025-05-16,11:34:46,68.100,2025-05-16,11:34:46,19.600
2025-05-16,11:49:46,842.000,2025-05-16,11:49:46,1239,600,189,2025-05-16,11:49:46,61.000,2025-05-16,11:49:46,19.000
2025-05-16,12:04:46,825.000,2025-05-16,12:04:46,1238,610,188,2025-05-16,12:04:46,63.000,2025-05-16,12:04:46,19.300
2025-05-16,12:19:46,838.000,2025-05-16,12:19:46,1241,610,188,2025-05-16,12:19:46,60.900,2025-05-16,12:19:46,19.000
2025-05-16,12:34:46,846.000,2025-05-16,12:34:46,1240,610,190,2025-05-16,12:34:46,63.700,2025-05-16,12:34:46,19.300
2025-05-16,12:49:46,854.000,2025-05-16,12:49:46,1240,610,190,2025-05-16,12:49:46,60.500,2025-05-16,12:49:46,18.800
2025-05-16,13:04:46,859.000,2025-05-16,13:04:46,1241,620,190,2025-05-16,13:04:46,63.000,2025-05-16,13:04:46,19.300
2025-05-16,13:19:46,874.000,2025-05-16,13:19:46,1242,610,189,2025-05-16,13:19:46,60.600,2025-05-16,13:19:46,18.800
2025-05-16,13:34:46,883.000,2025-05-16,13:34:46,1241,610,189,2025-05-16,13:34:46,62.400,2025-05-16,13:34:46,19.200
2025-05-16,13:49:46,898.000,2025-05-16,13:49:46,1244,560,188,2025-05-16,13:49:46,60.300,2025-05-16,13:49:46,18.800
2025-05-16,14:04:46,929.000,2025-05-16,14:04:46,1244,560,188,2025-05-16,14:04:46,62.400,2025-05-16,14:04:46,19.200
2025-05-16,14:19:46,938.000,2025-05-16,14:19:46,1243,580,188,2025-05-16,14:19:46,60.400,2025-05-16,14:19:46,19.200
2025-05-16,14:34:46,953.000,2025-05-16,14:34:46,1244,570,190,2025-05-16,14:34:46,62.200,2025-05-16,14:34:46,19.200
2025-05-16,14:49:46,978.000,2025-05-16,14:49:46,1244,590,190,2025-05-16,14:49:46,67.000,2025-05-16,14:49:46,18.900
2025-05-16,15:04:46,1025.000,2025-05-16,15:04:46,1246,590,189,2025-05-16,15:04:46,61.700,2025-05-16,15:04:46,19.100
2025-05-16,15:19:46,1319.000,2025-05-16,15:19:46,1244,590,189,2025-05-16,15:19:46,71.900,2025-05-16,15:19:46,19.800
2025-05-16,15:34:46,1506.000,2025-05-16,15:34:46,1244,590,189,2025-05-16,15:34:46,62.300,2025-05-16,15:34:46,20.400
2025-05-16,15:49:46,1508.000,2025-05-16,15:49:46,1243,590,189,2025-05-16,15:49:46,59.700,2025-05-16,15:49:46,20.400
2025-05-16,16:04:46,1416.000,2025-05-16,16:04:46,1242,580,189,2025-05-16,16:04:46,58.000,2025-05-16,16:04:46,19.500
2025-05-16,16:19:46,1827.000,2025-05-16,16:19:46,433,720,177,2025-05-16,16:19:46,60.100,2025-05-16,16:19:46,20.600
2025-05-16,16:34:46,1654.000,2025-05-16,16:34:46,1036,690,179,2025-05-16,16:34:46,58.000,2025-05-16,16:34:46,20.300
2025-05-16,16:49:46,1932.000,2025-05-16,16:49:46,745,710,185,2025-05-16,16:49:46,63.300,2025-05-16,16:49:46,20.600
2025-05-16,17:04:46,1694.000,2025-05-16,17:04:46,1010,700,187,2025-05-16,17:04:46,63.700,2025-05-16,17:04:46,20.200
2025-05-16,17:19:46,1649.000,2025-05-16,17:19:46,1016,690,188,2025-05-16,17:19:46,62.300,2025-05-16,17:19:46,19.300
2025-05-16,17:34:46,1575.000,2025-05-16,17:34:46,1165,690,189,2025-05-16,17:34:46,70.000,2025-05-16,17:34:46,19.700
2025-05-16,17:49:46,1431.000,2025-05-16,17:49:46,1055,650,188,2025-05-16,17:49:46,65.900,2025-05-16,17:49:46,19.600
2025-05-16,18:04:46,1384.000,2025-05-16,18:04:46,1033,650,188,2025-05-16,18:04:46,69.200,2025-05-16,18:04:46,19.100
2025-05-16,18:19:46,1315.000,2025-05-16,18:19:46,1041,660,189,2025-05-16,18:19:46,64.400,2025-05-16,18:19:46,19.400
2025-05-16,18:34:46,1251.000,2025-05-16,18:34:46,1143,670,188,2025-05-16,18:34:46,74.900,2025-05-16,18:34:46,19.700
2025-05-16,18:49:46,1187.000,2025-05-16,18:49:46,1075,640,188,2025-05-16,18:49:46,76.500,2025-05-16,18:49:46,19.500
2025-05-16,19:04:46,1130.000,2025-05-16,19:04:46,1102,660,188,2025-05-16,19:04:46,64.100,2025-05-16,19:04:46,19.200
2025-05-16,19:19:46,1073.000,2025-05-16,19:19:46,1095,590,188,2025-05-16,19:19:46,70.800,2025-05-16,19:19:46,19.700
2025-05-16,19:34:46,1014.000,2025-05-16,19:34:46,1074,660,189,2025-05-16,19:34:46,79.400,2025-05-16,19:34:46,19.800
2025-05-16,19:49:46,982.000,2025-05-16,19:49:46,1090,610,188,2025-05-16,19:49:46,71.300,2025-05-16,19:49:46,20.200
